Reproduction,Task,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI_AI5_AI10_F1,GI_AI5_AI10_P,GI_AI5_AI10_R,GI_AI5_AI10_AP50
YOLOv8x-seg,Detection,0.785,0.754,0.819,0.835,0.832,0.842,0.822,0.868,0.773,0.811,0.739,0.817,0.788,0.814,0.764,0.822
YOLOv8x-seg,Segmentation,0.757,0.731,0.785,0.792,0.715,0.733,0.698,0.655,0.773,0.799,0.749,0.808,0.74,0.787,0.699,0.744
YOLOv11x-seg,Detection,0.776,0.85,0.714,0.817,0.721,0.692,0.754,0.761,0.759,0.793,0.728,0.82,0.797,0.847,0.753,0.823
YOLOv11x-seg,Segmentation,0.762,0.849,0.691,0.792,0.569,0.549,0.591,0.543,0.748,0.782,0.717,0.806,0.748,0.795,0.706,0.752
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Original paper,Task,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI+AI5+AI10_F1,GI+AI5+AI10_P,GI+AI5+AI10_R,GI+AI5+AI10_AP50
YOLOv8x-seg,Detection,0.76,0.85,0.7,0.82,0.76,0.8,0.73,0.79,0.75,0.76,0.73,0.77,0.81,0.88,0.75,0.79
YOLOv8x-seg,Segmentation,0.73,0.76,0.7,0.75,0.68,0.67,0.7,0.63,0.71,0.77,0.67,0.72,0.73,0.76,0.7,0.7
YOLOv11x-seg,Detection,0.79,0.83,0.74,0.83,0.81,0.83,0.8,0.84,0.81,0.81,0.81,0.84,0.8,0.85,0.76,0.83
YOLOv11x-seg,Segmentation,0.75,0.83,0.69,0.78,0.69,0.7,0.69,0.69,0.79,0.79,0.79,0.82,0.75,0.79,0.71,0.74
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Delta,Task,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI+AI5+AI10_F1,GI+AI5+AI10_P,GI+AI5+AI10_R,GI+AI5+AI10_AP50
YOLOv8x-seg,Detection,0.025,-0.096,0.119,0.015,0.072,0.042,0.092,0.078,0.023,0.051,0.009,0.047,-0.022,-0.066,0.014,0.032
YOLOv8x-seg,Segmentation,0.027,-0.029,0.085,0.042,0.035,0.063,-0.002,0.025,0.063,0.029,0.079,0.088,0.01,0.027,-0.001,0.044
YOLOv11x-seg,Detection,-0.014,0.02,-0.026,-0.013,-0.089,-0.138,-0.046,-0.079,-0.051,-0.017,-0.082,-0.02,-0.003,-0.003,-0.007,-0.007
YOLOv11x-seg,Segmentation,0.012,0.019,0.001,0.012,-0.121,-0.151,-0.099,-0.147,-0.042,-0.008,-0.073,-0.014,-0.002,0.005,-0.004,0.012
,,,,,,,,,,,,,,,,,
% change,,,,,,,,,,,,,,,,,
YOLOv8x-seg,,3.289473684,-11.29411765,17,1.829268293,9.473684211,5.25,12.60273973,9.873417722,3.066666667,6.710526316,1.232876712,6.103896104,-2.716049383,-7.5,1.866666667,4.050632911
YOLOv8x-seg,,3.698630137,-3.815789474,12.14285714,5.6,5.147058824,9.402985075,-0.285714286,3.968253968,8.873239437,3.766233766,11.79104478,12.22222222,1.369863014,3.552631579,-0.142857143,6.285714286
YOLOv11x-seg,,-1.772151899,2.409638554,-3.513513514,-1.56626506,-10.98765432,-16.62650602,-5.75,-9.404761905,-6.296296296,-2.098765432,-10.12345679,-2.380952381,-0.375,-0.352941176,-0.921052632,-0.843373494
YOLOv11x-seg,,1.6,2.289156627,0.144927536,1.538461538,-17.53623188,-21.57142857,-14.34782609,-21.30434783,-5.316455696,-1.012658228,-9.240506329,-1.707317073,-0.266666667,0.632911392,-0.563380282,1.621621622
,,,,,,,,,,,,,,,,,
