Reproduction,Validated on,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI+AI5+AI10_F1,GI+AI5+AI10_P,GI+AI5+AI10_R,GI+AI5+AI10_AP50
YOLOv8x-seg,GI,0.781,0.744,0.822,0.832,0.657,0.701,0.618,0.634,0.585,0.64,0.539,0.543,0.753,0.743,0.764,0.8
YOLOv8x-seg,AI5,0.662,0.758,0.587,0.65,0.831,0.842,0.821,0.868,0.701,0.725,0.678,0.689,0.811,0.858,0.77,0.831
YOLOv8x-seg,AI10,0.172,0.338,0.115,0.219,0.533,0.675,0.44,0.554,0.773,0.811,0.739,0.817,0.814,0.839,0.791,0.841
YOLOv8x-seg,Average,0.538,0.613,0.508,0.567,0.674,0.739,0.626,0.685,0.686,0.725,0.652,0.683,0.793,0.813,0.775,0.824
YOLOv11x-seg,GI,0.787,0.872,0.717,0.82,0.602,0.658,0.554,0.62,0.529,0.551,0.508,0.49,0.77,0.844,0.708,0.792
YOLOv11x-seg,AI5,0.628,0.647,0.611,0.594,0.716,0.686,0.748,0.762,0.66,0.614,0.714,0.649,0.825,0.867,0.787,0.839
YOLOv11x-seg,AI10,0.157,0.127,0.204,0.122,0.581,0.597,0.565,0.547,0.759,0.792,0.728,0.822,0.816,0.81,0.822,0.849
YOLOv11x-seg,Average,0.524,0.549,0.51,0.512,0.633,0.647,0.623,0.643,0.649,0.652,0.65,0.654,0.804,0.84,0.772,0.827
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Original Paper,Validation Dataset,TrainedOn_GI_F1,TrainedOn_GI_P,TrainedOn_GI_R,TrainedOn_GI_AP50,TrainedOn_AI5_F1,TrainedOn_AI5_P,TrainedOn_AI5_R,TrainedOn_AI5_AP50,TrainedOn_AI10_F1,TrainedOn_AI10_P,TrainedOn_AI10_R,TrainedOn_AI10_AP50,TrainedOn_GI+AI5+AI10_F1,TrainedOn_GI+AI5+AI10_P,TrainedOn_GI+AI5+AI10_R,TrainedOn_GI+AI5+AI10_AP50
YOLOv8x-seg,GI,0.76,0.85,0.7,0.82,0.66,0.76,0.58,0.65,0.46,0.7,0.35,0.38,0.74,0.77,0.72,0.77
YOLOv8x-seg,AI5,0.51,0.55,0.48,0.53,0.76,0.8,0.73,0.79,0.62,0.72,0.54,0.6,0.81,0.85,0.77,0.82
YOLOv8x-seg,AI10,0.23,0.34,0.18,0.23,0.34,0.32,0.36,0.37,0.75,0.76,0.73,0.77,0.79,0.82,0.76,0.79
YOLOv8x-seg,Average,0.5,0.58,0.45,0.53,0.59,0.62,0.56,0.6,0.61,0.73,0.54,0.58,0.78,0.81,0.75,0.79
YOLOv11x-seg,GI,0.79,0.83,0.74,0.83,0.66,0.74,0.6,0.69,0.58,0.74,0.48,0.56,0.79,0.83,0.75,0.84
YOLOv11x-seg,AI5,0.61,0.68,0.55,0.6,0.81,0.83,0.8,0.84,0.64,0.67,0.62,0.65,0.81,0.85,0.77,0.82
YOLOv11x-seg,AI10,0.1,0.36,0.06,0.22,0.47,0.59,0.39,0.48,0.81,0.81,0.81,0.84,0.82,0.87,0.77,0.86
YOLOv11x-seg,Average,0.5,0.62,0.45,0.55,0.65,0.72,0.6,0.67,0.68,0.74,0.64,0.68,0.8,0.85,0.76,0.84
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Delta,Validation Dataset,TrainedOn_GI_F1,TrainedOn_GI_P,TrainedOn_GI_R,TrainedOn_GI_AP50,TrainedOn_AI5_F1,TrainedOn_AI5_P,TrainedOn_AI5_R,TrainedOn_AI5_AP50,TrainedOn_AI10_F1,TrainedOn_AI10_P,TrainedOn_AI10_R,TrainedOn_AI10_AP50,TrainedOn_GI+AI5+AI10_F1,TrainedOn_GI+AI5+AI10_P,TrainedOn_GI+AI5+AI10_R,TrainedOn_GI+AI5+AI10_AP50
YOLOv8x-seg,GI,0.021,-0.106,0.122,0.012,-0.003,-0.059,0.038,-0.016,0.125,-0.06,0.189,0.163,0.013,-0.027,0.044,0.03
YOLOv8x-seg,AI5,0.152,0.208,0.107,0.12,0.071,0.042,0.091,0.078,0.081,0.005,0.138,0.089,0.001,0.008,0,0.011
YOLOv8x-seg,AI10,-0.058,-0.002,-0.065,-0.011,0.193,0.355,0.08,0.184,0.023,0.051,0.009,0.047,0.024,0.019,0.031,0.051
YOLOv8x-seg,Average,0.038,0.033,0.058,0.037,0.084,0.119,0.066,0.085,0.076,-0.005,0.112,0.103,0.013,0.003,0.025,0.034
YOLOv11x-seg,GI,-0.003,0.042,-0.023,-0.01,-0.058,-0.082,-0.046,-0.07,-0.051,-0.189,0.028,-0.07,-0.02,0.014,-0.042,-0.048
YOLOv11x-seg,AI5,0.018,-0.033,0.061,-0.006,-0.094,-0.144,-0.052,-0.078,0.02,-0.056,0.094,-0.001,0.015,0.017,0.017,0.019
YOLOv11x-seg,AI10,0.057,-0.233,0.144,-0.098,0.111,0.007,0.175,0.067,-0.051,-0.018,-0.082,-0.018,-0.004,-0.06,0.052,-0.011
YOLOv11x-seg,Average,0.024,-0.071,0.06,-0.038,-0.017,-0.073,0.023,-0.027,-0.031,-0.088,0.01,-0.026,0.004,-0.01,0.012,-0.013
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
% change,Validation Dataset,TrainedOn_GI_F1,TrainedOn_GI_P,TrainedOn_GI_R,TrainedOn_GI_AP50,TrainedOn_AI5_F1,TrainedOn_AI5_P,TrainedOn_AI5_R,TrainedOn_AI5_AP50,TrainedOn_AI10_F1,TrainedOn_AI10_P,TrainedOn_AI10_R,TrainedOn_AI10_AP50,TrainedOn_GI+AI5+AI10_F1,TrainedOn_GI+AI5+AI10_P,TrainedOn_GI+AI5+AI10_R,TrainedOn_GI+AI5+AI10_AP50
YOLOv8x-seg,GI,2.76,-12.47,17.43,1.46,-0.45,-7.76,6.55,-2.46,27.17,-8.57,54.00,42.89,1.76,-3.51,6.11,3.90
YOLOv8x-seg,AI5,29.80,37.82,22.29,22.64,9.34,5.25,12.47,9.87,13.06,0.69,25.56,14.83,0.12,0.94,0.00,1.34
YOLOv8x-seg,AI10,-25.22,-0.59,-36.11,-4.78,56.76,110.94,22.22,49.73,3.07,6.71,1.23,6.10,3.04,2.32,4.08,6.46
YOLOv8x-seg,Average,7.60,5.69,12.89,6.98,14.24,19.19,11.79,14.17,12.46,-0.68,20.74,17.76,1.67,0.37,3.33,4.30
YOLOv11x-seg,GI,-0.38,5.06,-3.11,-1.20,-8.79,-11.08,-7.67,-10.14,-8.79,-25.54,5.83,-12.50,-2.53,1.69,-5.60,-5.71
