Reproduction,Validated on,GI_F1,GI_P,GI_R,GI_AP50,AI5_F1,AI5_P,AI5_R,AI5_AP50,AI10_F1,AI10_P,AI10_R,AI10_AP50,GI+AI5+AI10_F1,GI+AI5+AI10_P,GI+AI5+AI10_R,GI+AI5+AI10_AP50
YOLOv8x-seg,GI,0.753,0.719,0.791,0.794,0.596,0.652,0.55,0.513,0.561,0.618,0.513,0.496,0.701,0.769,0.644,0.736
YOLOv8x-seg,AI5,0.552,0.633,0.49,0.471,0.715,0.732,0.698,0.655,0.566,0.543,0.591,0.522,0.714,0.739,0.691,0.677
YOLOv8x-seg,AI10,0.156,0.308,0.105,0.203,0.475,0.601,0.393,0.478,0.773,0.799,0.749,0.808,0.797,0.867,0.738,0.81
YOLOv8x-seg,Average,0.487,0.553,0.462,0.489,0.595,0.662,0.547,0.549,0.633,0.653,0.618,0.609,0.738,0.792,0.691,0.741
YOLOv11x-seg,GI,0.767,0.868,0.687,0.792,0.539,0.587,0.497,0.522,0.51,0.53,0.491,0.45,0.766,0.852,0.696,0.783
YOLOv11x-seg,AI5,0.558,0.598,0.523,0.464,0.563,0.543,0.584,0.543,0.542,0.505,0.584,0.454,0.692,0.727,0.66,0.651
YOLOv11x-seg,AI10,0.153,0.124,0.199,0.121,0.546,0.577,0.518,0.51,0.742,0.775,0.712,0.803,0.795,0.84,0.754,0.8
YOLOv11x-seg,Average,0.493,0.53,0.47,0.459,0.549,0.569,0.533,0.525,0.598,0.604,0.595,0.569,0.751,0.806,0.703,0.745
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Original Paper,Validation Dataset,TrainedOn_GI_F1,TrainedOn_GI_P,TrainedOn_GI_R,TrainedOn_GI_AP50,TrainedOn_AI5_F1,TrainedOn_AI5_P,TrainedOn_AI5_R,TrainedOn_AI5_AP50,TrainedOn_AI10_F1,TrainedOn_AI10_P,TrainedOn_AI10_R,TrainedOn_AI10_AP50,TrainedOn_GI+AI5+AI10_F1,TrainedOn_GI+AI5+AI10_P,TrainedOn_GI+AI5+AI10_R,TrainedOn_GI+AI5+AI10_AP50
YOLOv8x-seg,GI,0.73,0.76,0.7,0.75,0.58,0.66,0.52,0.53,0.44,0.62,0.35,0.35,0.73,0.83,0.66,0.75
YOLOv8x-seg,AI5,0.46,0.63,0.37,0.45,0.68,0.67,0.7,0.63,0.48,0.57,0.42,0.44,0.69,0.72,0.66,0.62
YOLOv8x-seg,AI10,0.23,0.34,0.18,0.25,0.3,0.28,0.31,0.3,0.71,0.77,0.67,0.72,0.81,0.85,0.77,0.82
YOLOv8x-seg,Average,0.48,0.58,0.42,0.48,0.52,0.54,0.51,0.49,0.55,0.65,0.48,0.5,0.74,0.8,0.7,0.73
YOLOv11x-seg,GI,0.75,0.83,0.69,0.78,0.63,0.84,0.5,0.6,0.54,0.68,0.45,0.49,0.77,0.81,0.73,0.79
YOLOv11x-seg,AI5,0.53,0.6,0.48,0.49,0.69,0.7,0.69,0.69,0.5,0.52,0.49,0.41,0.68,0.68,0.69,0.63
YOLOv11x-seg,AI10,0.12,0.42,0.07,0.25,0.36,0.46,0.3,0.35,0.79,0.79,0.79,0.82,0.78,0.84,0.72,0.82
YOLOv11x-seg,Average,0.47,0.61,0.41,0.51,0.56,0.67,0.49,0.55,0.61,0.66,0.57,0.57,0.74,0.78,0.71,0.75
,,,,,,,,,,,,,,,,,
Delta,Validation Dataset,TrainedOn_GI_F1,TrainedOn_GI_P,TrainedOn_GI_R,TrainedOn_GI_AP50,TrainedOn_AI5_F1,TrainedOn_AI5_P,TrainedOn_AI5_R,TrainedOn_AI5_AP50,TrainedOn_AI10_F1,TrainedOn_AI10_P,TrainedOn_AI10_R,TrainedOn_AI10_AP50,TrainedOn_GI+AI5+AI10_F1,TrainedOn_GI+AI5+AI10_P,TrainedOn_GI+AI5+AI10_R,TrainedOn_GI+AI5+AI10_AP50
YOLOv8x-seg,GI,0.023,-0.041,0.091,0.044,0.016,-0.008,0.03,-0.017,0.121,-0.002,0.163,0.146,-0.029,-0.061,-0.016,-0.014
YOLOv8x-seg,AI5,0.092,0.003,0.12,0.021,0.035,0.062,-0.002,0.025,0.086,-0.027,0.171,0.082,0.024,0.019,0.031,0.057
YOLOv8x-seg,AI10,-0.074,-0.032,-0.075,-0.047,0.175,0.321,0.083,0.178,0.063,0.029,0.079,0.088,-0.013,0.017,-0.032,-0.01
YOLOv8x-seg,Average,0.007,-0.027,0.042,0.009,0.075,0.122,0.037,0.059,0.083,0.003,0.138,0.109,-0.002,-0.008,-0.009,0.011
YOLOv11x-seg,GI,0.017,0.038,-0.003,0.012,-0.091,-0.253,-0.003,-0.078,-0.03,-0.15,0.041,-0.04,-0.004,0.042,-0.034,-0.007
YOLOv11x-seg,AI5,0.028,-0.002,0.043,-0.026,-0.127,-0.157,-0.106,-0.147,0.042,-0.015,0.094,0.044,0.012,0.047,-0.03,0.021
YOLOv11x-seg,AI10,0.033,-0.296,0.129,-0.129,0.186,0.117,0.218,0.16,-0.048,-0.015,-0.078,-0.017,0.015,0,0.034,-0.02
YOLOv11x-seg,Average,0.023,-0.08,0.06,-0.051,-0.011,-0.101,0.043,-0.025,-0.012,-0.056,0.025,-0.001,0.011,0.026,-0.007,-0.005
,,,,,,,,,,,,,,,,,
% change,Validation Dataset,TrainedOn_GI_F1,TrainedOn_GI_P,TrainedOn_GI_R,TrainedOn_GI_AP50,TrainedOn_AI5_F1,TrainedOn_AI5_P,TrainedOn_AI5_R,TrainedOn_AI5_AP50,TrainedOn_AI10_F1,TrainedOn_AI10_P,TrainedOn_AI10_R,TrainedOn_AI10_AP50,TrainedOn_GI+AI5+AI10_F1,TrainedOn_GI+AI5+AI10_P,TrainedOn_GI+AI5+AI10_R,TrainedOn_GI+AI5+AI10_AP50
YOLOv8x-seg,GI,3.150684932,-5.394736842,13,5.866666667,2.75862069,-1.212121212,5.769230769,-3.20754717,27.5,-0.322580645,46.57142857,41.71428571,-3.97260274,-7.34939759,-2.424242424,-1.866666667
YOLOv8x-seg,AI5,20,0.476190476,32.43243243,4.666666667,5.147058824,9.253731343,-0.285714286,3.968253968,17.91666667,-4.736842105,40.71428571,18.63636364,3.47826087,2.638888889,4.696969697,9.193548387
YOLOv8x-seg,AI10,-32.17391304,-9.411764706,-41.66666667,-18.8,58.33333333,114.6428571,26.77419355,59.33333333,8.873239437,3.766233766,11.79104478,12.22222222,-1.604938272,2,-4.155844156,-1.219512195
YOLOv8x-seg,Average,1.458333333,-4.655172414,10,1.875,14.42307692,22.59259259,7.254901961,12.04081633,15.09090909,0.461538462,28.75,21.8,-0.27027027,-1,-1.285714286,1.506849315
YOLOv11x-seg,GI,2.266666667,4.578313253,-0.434782609,1.538461538,-14.44444444,-30.11904762,-0.6,-13,-5.555555556,-22.05882353,9.111111111,-8.163265306,-0.519480519,5.185185185,-4.657534247,-0.886075949
YOLOv11x-seg,AI5,5.283018868,-0.333333333,8.958333333,-5.306122449,-18.4057971,-22.42857143,-15.36231884,-21.30434783,8.4,-2.884615385,19.18367347,10.73170732,1.764705882,6.911764706,-4.347826087,3.333333333
YOLOv11x-seg,AI10,27.5,-70.47619048,184.2857143,-51.6,51.66666667,25.43478261,72.66666667,45.71428571,-6.075949367,-1.898734177,-9.873417722,-2.073170732,1.923076923,0,4.722222222,-2.43902439
YOLOv11x-seg,Average,4.893617021,-13.1147541,14.63414634,-10,-1.964285714,-15.07462687,8.775510204,-4.545454545,-1.967213115,-8.484848485,4.385964912,-0.175438596,1.486486486,3.333333333,-0.985915493,-0.666666667
